Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
Command & Conquer™ Remastered Collection,https://store.steampowered.com/app/1213210/Command__Conquer_Remastered_Collection/?snr=1_7_7_240_150_1,"Petroglyph, Lemon Sky Studios","Petroglyph, Lemon Sky Studios","Strategy,RTS,Base Building,Classic,Multiplayer,Great Soundtrack,War,Singleplayer,1990's,FMV,Remake,Level Editor,PvP,Replay Value,Tanks,Soundtrack,Cinematic,Isometric,Real Time Tactics,Retro",win,"FMV,Cinematic,Isometric","5 Jun, 2020",699₴,9,0.9,25036
Total War: NAPOLEON – Definitive Edition,https://store.steampowered.com/app/34030/Total_War_NAPOLEON__Definitive_Edition/?snr=1_7_7_240_150_1,"CREATIVE ASSEMBLY, Feral Interactive (Mac)","CREATIVE ASSEMBLY, Feral Interactive (Mac)","Strategy,Historical,Grand Strategy,War,Turn-Based Strategy,RTS,Multiplayer,Tactical,Military,Singleplayer,Real Time Tactics,Turn-Based,Action,Turn-Based Tactics,Simulation,Co-op,Naval,Great Soundtrack,Moddable,Classic","mac, win",,"25 Feb, 2010",399₴,9,0.9,12999
From the Depths,https://store.steampowered.com/app/268650/From_the_Depths/?snr=1_7_7_240_150_2,Brilliant Skies Ltd.,Brilliant Skies Ltd.,"Naval Combat,Building,Sandbox,Physics,Vehicular Combat,RTS,Crafting,Gun Customization,Voxel,Strategy,Survival,Multiplayer,Co-op Campaign,Tutorial,War,Military,Artificial Intelligence,Simulation,Naval,Space","linux, mac, win",Voxel,"6 Nov, 2020",329₴,9,0.9,8501
Command & Conquer 3: Tiberium Wars,https://store.steampowered.com/app/24790/Command__Conquer_3_Tiberium_Wars/?snr=1_7_7_240_150_1,EA Los Angeles,EA Los Angeles,"Strategy,RTS,Base Building,Sci-fi,Multiplayer,Singleplayer,Action,FMV,Classic,Atmospheric,Post-apocalyptic,Story Rich,War,Futuristic,Great Soundtrack,Action RTS,Cult Classic",win,FMV,"28 Mar, 2007",499₴,9,0.9,5956
Clanfolk,https://store.steampowered.com/app/1700870/Clanfolk/?snr=1_7_7_240_150_1,MinMax Games Ltd.,MinMax Games Ltd.,"City Builder,Strategy,RTS,Medieval,Historical,Base Building,Resource Management,Management,Isometric,Open World,Real-Time,Tactical,Replay Value,Singleplayer,2D,Adventure,Action,PvE,War,Early Access",win,"Isometric,2D","14 Jul, 2022",239₴,9,0.9,1627
Darkest Hour: A Hearts of Iron Game,https://store.steampowered.com/app/73170/Darkest_Hour_A_Hearts_of_Iron_Game/?snr=1_7_7_240_150_4,Martin Ivanov,Martin Ivanov,"Strategy,Grand Strategy,World War II,Historical,World War I,Simulation,Wargame,Military,RTS,Cold War,War,Moddable,Multiplayer,Sandbox",win,,"8 Apr, 2011",169₴,9,0.9,1537
"Warhammer® 40,000: Dawn of War® – Winter Assault",https://store.steampowered.com/app/9310/Warhammer_40000_Dawn_of_War__Winter_Assault/?snr=1_7_7_240_150_2,Relic Entertainment,Relic Entertainment,"Strategy,Warhammer 40K,RTS,Games Workshop,Base Building,Sci-fi,Multiplayer,Singleplayer,Real-Time,Tactical,Futuristic,War,Action,Classic",win,,"1 Jan, 2006",209₴,9,0.9,1352
Circle Empires Rivals,https://store.steampowered.com/app/1100260/Circle_Empires_Rivals/?snr=1_7_7_240_150_3,Luminous,Luminous,"Tactical,Multiplayer,Online Co-Op,Top-Down,Fantasy,Strategy,Fast-Paced,Economy,Dragons,Competitive,PvP,PvE,Action,Team-Based,Resource Management,Casual,Colorful,RTS,Cute,Base Building","music, win","Top-Down,Colorful,Cute","15 Apr, 2020",711₴,9,0.9,1188
Warzone 2100,https://store.steampowered.com/app/1241950/Warzone_2100/?snr=1_7_7_240_150_7,"Pumpkin Studios, Underdone Gaming, Warzone 2100 Project","Pumpkin Studios, Underdone Gaming, Warzone 2100 Project","Strategy,Free to Play,RTS,Base Building,War,Real Time Tactics,Classic,Futuristic,Multiplayer,Singleplayer,Sci-fi,Post-apocalyptic,1990's",win,,"10 Apr, 1999",Free,9,0.9,1186
Blitzkrieg Anthology,https://store.steampowered.com/app/313480/Blitzkrieg_Anthology/?snr=1_7_7_240_150_3,Nival,Nival,"Strategy,World War II,RTS,War,Military,Singleplayer,Historical,Real Time Tactics,Classic,Tanks,Tactical,Realistic,Difficult,Atmospheric,Great Soundtrack,Multiplayer,Dynamic Narration",win,Realistic,"28 Mar, 2003",403₴,9,0.9,1100
