Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
500 Second Challenge,https://store.steampowered.com/app/2136090/500_Second_Challenge/?snr=1_7_7_240_150_9,HSNU_BBCAT,HSNU_BBCAT,"Adventure,Strategy,Action-Adventure,RTS,2D Platformer,Real Time Tactics,Runner,2D,Underground,Survival,Free to Play,Casual,Racing,Quick-Time Events,Perma Death,Physics,Score Attack,Singleplayer",win,2D,"29 Sep, 2022",Free To Play,6,63%,11
Blackout!!,https://store.steampowered.com/app/1942610/Blackout/?snr=1_7_7_240_150_9,Sun Studios,Sun Studios,"Action,RPG,Strategy,Tower Defense,RTS,Hack and Slash,Real Time Tactics,Turn-Based Tactics,3D,Cartoon,Third Person,Fantasy,Magic,Nature,Base Building,Local Co-Op,Singleplayer,Free to Play,Indie",win,"3D,Cartoon,Third Person","2 May, 2022",Free To Play,6,46%,15
Aggression: Europe Under Fire,https://store.steampowered.com/app/289580/Aggression_Europe_Under_Fire/?snr=1_7_7_240_150_9,Lesta Studio,Lesta Studio,"Strategy,World War I,RTS,Historical",win,,"10 May, 2007",236₴,6,51%,94
Tyran,https://store.steampowered.com/app/426210/Tyran/?snr=1_7_7_240_150_9,Dragon's Games,Dragon's Games,"RPG,Action,Indie,Strategy,Tactical,Fantasy,RTS,Controller,Atmospheric,Multiplayer,Magic,Early Access","linux, win",,"12 Jul, 2021",80₴,6,56%,30
SQUIDS FROM SPACE,https://store.steampowered.com/app/437610/SQUIDS_FROM_SPACE/?snr=1_7_7_240_150_9,Fun Bits,Fun Bits,"Action,Casual,Indie,Early Access,Multiplayer,Team-Based,Space,Aliens,Funny,Top-Down Shooter,Resource Management,RTS,Twin Stick Shooter,Top-Down,Retro,Shoot 'Em Up,Strategy",win,Top-Down,"16 Jun, 2017",Free to Play,9,89%,228
No Place for the Dissident,https://store.steampowered.com/app/1402580/No_Place_for_the_Dissident/?snr=1_7_7_240_150_9,David M.,David M.,"Political Sim,Dystopian,Outbreak Sim,Political,Politics,Strategy,Simulation,Economy,Management,RTS,War,PvP,Lore-Rich,Story Rich,Choices Matter,Historical,Philosophical,Alternate History,Psychological Horror,Indie","linux, win",,"12 Nov, 2020",79₴,6,60%,20
Age of Conquest IV,https://store.steampowered.com/app/314970/Age_of_Conquest_IV/?snr=1_7_7_240_150_10,Noble Master LLC,Noble Master LLC,"Free to Play,Strategy,Turn-Based Strategy,War,Indie,Multiplayer,Grand Strategy,Singleplayer,Board Game,2D,Historical,Turn-Based,Medieval,Survival,Co-op,Massively Multiplayer,Sandbox,RTS,Open World,PvP","linux, mac, win",2D,"5 Apr, 2016",Free to Play,9,81%,2489
Terminal squad: Swarmites,https://store.steampowered.com/app/1217330/Terminal_squad_Swarmites/?snr=1_7_7_240_150_10,Droid Riot,Droid Riot,"Indie,Strategy,Action,RTS,Tower Defense,Base Building,Retro,Survival,Top-Down,Military,Space,Sci-fi,Singleplayer,GameMaker,Addictive,Real-Time with Pause,Management,Tactical,Resource Management,Real Time Tactics",win,Top-Down,"30 Jan, 2020",332₴,6,63%,19
Way of Gold and Steel,https://store.steampowered.com/app/373730/Way_of_Gold_and_Steel/?snr=1_7_7_240_150_10,Sergey Bobrov,Sergey Bobrov,"Strategy,Indie,Roguelike,RTS,Pixel Graphics",win,Pixel Graphics,"17 Aug, 2015",534₴,6,54%,71
Make Your Kingdom,https://store.steampowered.com/app/964020/Make_Your_Kingdom/?snr=1_7_7_240_150_10,yo_serjio,yo_serjio,"City Builder,Building,Management,Survival,Colony Sim,Simulation,Base Building,Sandbox,Economy,Strategy,Singleplayer,3D,Adventure,Exploration,RTS,Crafting,Post-apocalyptic,Indie,Casual,Multiplayer",win,3D,"20 Jan, 2022",200₴,6,60%,159
Real Warfare 1242,https://store.steampowered.com/app/46350/Real_Warfare_1242/?snr=1_7_7_240_150_10,Unicorn Games Studio,Unicorn Games Studio,"Strategy,RTS,Medieval",win,,"11 Jun, 2010",99₴,6,53%,56
The Corporate Machine,https://store.steampowered.com/app/351080/The_Corporate_Machine/?snr=1_7_7_240_150_10,Stardock Entertainment,Stardock Entertainment,"Time Management,Economy,Capitalism,Management,Building,Crafting,PvP,Trading,Base Building,RTS,2D,Simulation,America,Inventory Management,Multiplayer,Singleplayer,Classic,Indie,Strategy,Competitive",win,2D,"14 Jul, 2001",169₴,6,68%,57
FireJumpers Inferno,https://store.steampowered.com/app/1444710/FireJumpers_Inferno/?snr=1_7_7_240_150_10,Jason Thomas,Jason Thomas,"Grand Strategy,Flight,Immersive Sim,Exploration,Sandbox,Management,Nature,Science,Strategy,Physics,RTS,Third Person,Procedural Generation,Team-Based,Simulation,3D,Colorful,Pixel Graphics,Tactical,Real Time Tactics","mac, win","Third Person,3D,Colorful,Pixel Graphics","6 Oct, 2022",Free To Play,6,65%,44
Panzer Doctrine,https://store.steampowered.com/app/709880/Panzer_Doctrine/?snr=1_7_7_240_150_10,Z9K Games,Z9K Games,"Simulation,Strategy,Indie,World War II,Wargame,War,Tactical,Military,Historical,Tanks,RTS,Real-Time with Pause,Difficult",win,,"3 Sep, 2018",229₴,6,68%,32
Earth 2150 Trilogy,https://store.steampowered.com/app/253880/Earth_2150_Trilogy/?snr=1_7_7_240_150_10,Reality Pump Studios,Reality Pump Studios,"Strategy,RTS,Sci-fi,Classic,Space","music, linux, mac, win",,"20 May, 2000",1 062₴,7,76%,383
Instability,https://store.steampowered.com/app/1368350/Instability/?snr=1_7_7_240_150_10,Perpetual Motion Software,Perpetual Motion Software,"Action,Strategy,Tower Defense,RTS,Bullet Hell,City Builder,Real Time Tactics,2D,Wargame,Abstract,Cartoon,Colorful,Hand-drawn,Minimalist,Pixel Graphics,Top-Down,1980s,Aliens,Atmospheric,Dystopian",win,"2D,Abstract,Cartoon,Colorful,Hand-drawn,Minimalist,Pixel Graphics,Top-Down","28 Jul, 2020",Free,7,71%,32
Windsor - Grand Strategy MMO,https://store.steampowered.com/app/1876070/Windsor__Grand_Strategy_MMO/?snr=1_7_7_240_150_10,Game Shovel,Game Shovel,"Strategy,Massively Multiplayer,Multiplayer,Grand Strategy,4X,Online Co-Op,RTS,PvP,Co-op,Management,Economy,Combat,Early Access,Building,Time Manipulation","mac, win",,"16 Jul, 2022",Free To Play,6,60%,15
Gallic Wars: Battle Simulator Prologue,https://store.steampowered.com/app/1431630/Gallic_Wars_Battle_Simulator_Prologue/?snr=1_7_7_240_150_10,MadGamesmith,MadGamesmith,"Strategy,Simulation,Roguelike,Roguelite,RTS,Real Time Tactics,3D,Colorful,Stylized,Comedy,Fantasy,Funny,Medieval,Tactical,Physics,Tutorial,Singleplayer,Magic,Rome",win,"3D,Colorful,Stylized","16 Oct, 2020",Free To Play,6,64%,17
FreedroidRPG,https://store.steampowered.com/app/1979930/FreedroidRPG/?snr=1_7_7_240_150_10,FreedroidRPG Team,FreedroidRPG Team,"RPG,Adventure,Hack and Slash,Action RPG,Open World,Isometric,Dungeon Crawler,Exploration,Sci-fi,Cartoony,Hacking,RTS,Post-apocalyptic,Dystopian,Aliens,Fantasy,Artificial Intelligence,Combat,Singleplayer,Level Editor","linux, mac, win","Isometric,Cartoony","19 Jan, 2023",Free,8,90%,11
BC Kings,https://store.steampowered.com/app/12460/BC_Kings/?snr=1_7_7_240_150_10,Mascot Entertainment,Mascot Entertainment,"Strategy,RTS,Multiplayer",win,,"15 Sep, 2008",123₴,6,63%,169
Interloper,https://store.steampowered.com/app/356420/Interloper/?snr=1_7_7_240_150_10,Monogon Games,Monogon Games,"Strategy,Indie,RTS,Multiplayer,Fast-Paced,Short,Great Soundtrack,2D","linux, mac, win",2D,"21 May, 2015",Free to Play,9,84%,383
The Mims Beginning,https://store.steampowered.com/app/337820/The_Mims_Beginning/?snr=1_7_7_240_150_10,Squatting Penguins,Squatting Penguins,"God Game,Strategy,Fantasy,Sci-fi,Colony Sim,Indie,Funny,Colorful,Top-Down,RTS,Singleplayer,City Builder,Physics,Management,Action RTS,Aliens,3D,Farming Sim,Casual,Space","music, linux, mac, win","Colorful,Top-Down,3D","14 Jan, 2015",260₴,6,66%,139
Theatre of War 2: Africa 1943,https://store.steampowered.com/app/46340/Theatre_of_War_2_Africa_1943/?snr=1_7_7_240_150_10,Fulqrum Publishing,Fulqrum Publishing,"Strategy,Simulation,World War II,RTS,Historical",win,,"24 Apr, 2009",124₴,7,70%,170
They Came From Below,https://store.steampowered.com/app/1828750/They_Came_From_Below/?snr=1_7_7_240_150_10,Piece Of Voxel,Piece Of Voxel,"Simulation,Tower Defense,Adventure,Cute,Strategy,Action RTS,Puzzle,Real Time Tactics,Hex Grid,Base Building,RTS,City Builder,Spectacle fighter,Colorful,Action,Family Friendly,Casual,3D,Third Person,Stylized",win,"Cute,Colorful,3D,Third Person,Stylized","10 Dec, 2021",348₴,6,57%,14
Battlestations Pacific,https://store.steampowered.com/app/8170/Battlestations_Pacific/?snr=1_7_7_240_150_10,Eidos Studio Hungary,Eidos Studio Hungary,"World War II,Strategy,Action,Naval,Simulation,RTS,Flight,Military,Naval Combat,Multiplayer,Singleplayer,Historical,Open World,War,Alternate History",,,"12 May, 2009",,7,70%,2174
Spider-Robots War,https://store.steampowered.com/app/1577530/SpiderRobots_War/?snr=1_7_7_240_150_10,Laush Dmitriy Sergeevich,Laush Dmitriy Sergeevich,"Strategy,Tower Defense,Grand Strategy,City Builder,Space Sim,Colony Sim,RTS,Wargame,Exploration,Turn-Based Tactics,Choose Your Own Adventure,Survival,Base Building,Real Time Tactics,Resource Management,Mining,Crafting,3D,Atmospheric,Building",win,3D,"2 Apr, 2021",138₴,6,64%,25
Onimod Land,https://store.steampowered.com/app/633660/Onimod_Land/?snr=1_7_7_240_150_10,Astralax,Astralax,"Strategy,RTS",win,,"10 Nov, 2017",180₴,7,72%,11
Memetric: Final Lifeforms,https://store.steampowered.com/app/1794760/Memetric_Final_Lifeforms/?snr=1_7_7_240_150_10,"FatalCage, CloudCage","FatalCage, CloudCage","Strategy,Singleplayer,Sci-fi,Base Building,Side Scroller,2D,RTS,Early Access,Indie",win,2D,"9 Nov, 2021",209₴,8,81%,11
